代码,专业组名称
0306,中国民用航空飞行学院02专业组(不限)
0306,中国民用航空飞行学院03专业组(思想政治)
1101,南京大学03专业组(不限)
1102,东南大学02专业组(不限)
1103,南京航空航天大学01专业组(不限)
1103,南京航空航天大学02专业组(思想政治)
1104,南京理工大学01专业组(不限)
1105,河海大学01专业组(不限)
1105,河海大学02专业组(不限)
1105,河海大学03专业组(思想政治)
1106,南京信息工程大学02专业组(不限)
1106,南京信息工程大学03专业组(不限)
1107,南京农业大学01专业组(不限)
1108,南京师范大学04专业组(不限)
1108,南京师范大学05专业组(不限)
1108,南京师范大学06专业组(不限)
1108,南京师范大学07专业组(不限)
1108,南京师范大学08专业组(不限)
1108,南京师范大学09专业组(化学或地理)
1108,南京师范大学10专业组(思想政治)
1109,中国药科大学01专业组(不限)
1110,南京工业大学02专业组(不限)
1110,南京工业大学03专业组(不限)
1111,南京邮电大学02专业组(不限)
1112,南京医科大学01专业组(不限)
1113,南京中医药大学03专业组(不限)
1113,南京中医药大学04专业组(不限)
1113,南京中医药大学05专业组(化学或生物)
1113,南京中医药大学06专业组(化学或生物)
1113,南京中医药大学07专业组(化学或生物)
1114,南京工程学院01专业组(不限)
1114,南京工程学院02专业组(不限)
1115,南京林业大学01专业组(不限)
1115,南京林业大学02专业组(不限)
1116,南京财经大学01专业组(不限)
1116,南京财经大学02专业组(不限)
1116,南京财经大学03专业组(不限)
1117,南京体育学院01专业组(不限)
1117,南京体育学院02专业组(不限)
1118,南京艺术学院01专业组(不限)
1119,南京审计大学01专业组(不限)
1119,南京审计大学02专业组(不限)
1119,南京审计大学03专业组(不限)
1119,南京审计大学04专业组(不限)
1119,南京审计大学05专业组(不限)
1119,南京审计大学06专业组(不限)
1120,南京晓庄学院04专业组(不限)
1120,南京晓庄学院05专业组(不限)
1120,南京晓庄学院06专业组(化学或地理)
1120,南京晓庄学院07专业组(思想政治)
1122,江苏警官学院03专业组(不限)
1128,金陵科技学院01专业组(不限)
1128,金陵科技学院02专业组(不限)
1131,江苏第二师范学院04专业组(不限)
1131,江苏第二师范学院05专业组(化学或地理)
1131,江苏第二师范学院06专业组(思想政治)
1133,南京特殊教育师范学院02专业组(不限)
1136,南京工业职业技术大学01专业组(不限)
1136,南京工业职业技术大学02专业组(不限)
1136,南京工业职业技术大学03专业组(思想政治或地理)
1201,江南大学01专业组(不限)
1201,江南大学02专业组(不限)
1201,江南大学03专业组(不限)
1201,江南大学04专业组(思想政治)
1203,无锡学院01专业组(不限)
1221,中国矿业大学01专业组(不限)
1222,江苏师范大学03专业组(不限)
1222,江苏师范大学04专业组(不限)
1222,江苏师范大学05专业组(化学或地理)
1222,江苏师范大学06专业组(思想政治)
1223,徐州医科大学01专业组(不限)
1223,徐州医科大学02专业组(不限)
1224,徐州工程学院01专业组(不限)
1242,常州大学01专业组(不限)
1243,常州工学院01专业组(不限)
1243,常州工学院02专业组(不限)
1243,常州工学院03专业组(不限)
1243,常州工学院04专业组(化学)
1244,江苏理工学院01专业组(不限)
1244,江苏理工学院02专业组(不限)
1244,江苏理工学院03专业组(不限)
1261,苏州大学03专业组(不限)
1261,苏州大学04专业组(不限)
1261,苏州大学05专业组(不限)
1261,苏州大学06专业组(不限)
1261,苏州大学07专业组(生物)
1261,苏州大学08专业组(思想政治)
1262,苏州科技大学01专业组(不限)
1262,苏州科技大学02专业组(不限)
1262,苏州科技大学03专业组(化学或地理)
1262,苏州科技大学04专业组(思想政治)
1263,常熟理工学院01专业组(不限)
1263,常熟理工学院02专业组(不限)
1263,常熟理工学院03专业组(不限)
1265,中国人民大学(苏州校区)01专业组(不限)
1267,苏州城市学院01专业组(不限)
1267,苏州城市学院02专业组(不限)
1267,苏州城市学院03专业组(不限)
1301,南通大学02专业组(不限)
1301,南通大学03专业组(不限)
1301,南通大学04专业组(不限)
1301,南通大学05专业组(思想政治)
1321,江苏海洋大学01专业组(不限)
1321,江苏海洋大学02专业组(化学或地理)
1341,淮阴师范学院03专业组(不限)
1341,淮阴师范学院04专业组(化学或地理)
1341,淮阴师范学院05专业组(思想政治)
1342,淮阴工学院01专业组(不限)
1342,淮阴工学院02专业组(化学或生物)
1361,盐城工学院01专业组(不限)
1362,盐城师范学院03专业组(不限)
1362,盐城师范学院04专业组(不限)
1362,盐城师范学院05专业组(化学或地理)
1362,盐城师范学院06专业组(思想政治)
1381,扬州大学05专业组(不限)
1381,扬州大学06专业组(不限)
1381,扬州大学07专业组(不限)
1381,扬州大学08专业组(不限)
